,difficulty,duration,channel_email,channel_web,channel_mobile,channel_social,offer_type,age_categories_10-19,age_categories_20-29,age_categories_30-39,age_categories_40-49,age_categories_50-59,age_categories_60-69,age_categories_70-79,age_categories_80-89,age_categories_Missing,income_binned_30k-39k,income_binned_40k-49k,income_binned_50k-59k,income_binned_60k-69k,income_binned_70k-79k,income_binned_80k-89k,income_binned_90k-99k,income_binned_100k-109k,income_binned_110k-120k,became_member_year_2013,became_member_year_2014,became_member_year_2015,became_member_year_2016,became_member_year_2017,became_member_year_2018,gender_F,gender_M,gender_N,gender_O
14,10.0,10.0,1.0,1.0,1.0,1.0,discount,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
15,7.0,7.0,1.0,1.0,1.0,1.0,discount,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
26,5.0,7.0,1.0,1.0,1.0,0.0,bogo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
40,5.0,7.0,1.0,1.0,1.0,0.0,bogo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
51,10.0,7.0,1.0,0.0,1.0,1.0,bogo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
52,5.0,5.0,1.0,1.0,1.0,1.0,bogo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
76,5.0,7.0,1.0,1.0,1.0,0.0,bogo,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
77,10.0,10.0,1.0,1.0,1.0,1.0,bogo,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
102,5.0,5.0,1.0,1.0,1.0,1.0,bogo,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
110,10.0,7.0,1.0,1.0,1.0,0.0,bogo,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
111,5.0,7.0,1.0,1.0,1.0,0.0,bogo,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
117,5.0,5.0,1.0,1.0,1.0,1.0,bogo,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
118,10.0,10.0,1.0,1.0,1.0,1.0,bogo,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
129,5.0,7.0,1.0,1.0,1.0,0.0,bogo,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
148,10.0,7.0,1.0,0.0,1.0,1.0,bogo,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
160,7.0,7.0,1.0,1.0,1.0,1.0,discount,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
174,10.0,10.0,1.0,1.0,1.0,1.0,discount,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
181,10.0,5.0,1.0,1.0,1.0,1.0,bogo,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
186,10.0,7.0,1.0,0.0,1.0,1.0,bogo,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
194,5.0,5.0,1.0,1.0,1.0,1.0,bogo,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
219,10.0,10.0,1.0,1.0,1.0,1.0,discount,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
225,7.0,7.0,1.0,1.0,1.0,1.0,discount,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
229,7.0,7.0,1.0,1.0,1.0,1.0,discount,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
233,7.0,7.0,1.0,1.0,1.0,1.0,discount,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
