gender,age,customer_id,became_member_on,income,became_member_year,became_member_month,membership_duration,age_categories,income_binned
1.0,55.0,0610b486422d4921ae7d2bf64640c50b,2017-07-15,112000.0,2017,7,376 days 00:00:00.000000000,50-59,110k-120k
1.0,75.0,78afa995795e4d85b5d9ceeca43f5fef,2017-05-09,100000.0,2017,5,443 days 00:00:00.000000000,70-79,90k-99k
0.0,68.0,e2127556f4f64592b11af22de27a7932,2018-04-26,70000.0,2018,4,91 days 00:00:00.000000000,60-69,60k-69k
0.0,65.0,389bc3fa690240e798340f5a15918d5c,2018-02-09,53000.0,2018,2,167 days 00:00:00.000000000,60-69,50k-59k
0.0,58.0,2eeac8d8feae4a8cad5a6af0499a211d,2017-11-11,51000.0,2017,11,257 days 00:00:00.000000000,50-59,50k-59k
1.0,61.0,aa4862eba776480b8bb9c68455b8c2e1,2017-09-11,57000.0,2017,9,318 days 00:00:00.000000000,60-69,50k-59k
0.0,26.0,e12aeaf2d47d42479ea1c4ac3d8286c6,2014-02-13,46000.0,2014,2,1624 days 00:00:00.000000000,20-29,40k-49k
1.0,62.0,31dda685af34476cad5bc968bdb01c53,2016-02-11,71000.0,2016,2,896 days 00:00:00.000000000,60-69,70k-79k
0.0,49.0,62cf5e10845442329191fc246e7bcea3,2014-11-13,52000.0,2014,11,1351 days 00:00:00.000000000,40-49,50k-59k
0.0,57.0,6445de3b47274c759400cd68131d91b4,2017-12-31,42000.0,2017,12,207 days 00:00:00.000000000,50-59,40k-49k
1.0,61.0,a448667f336b42c9a66fc5ffd5d73772,2018-05-01,40000.0,2018,5,86 days 00:00:00.000000000,60-69,20k-39k
1.0,40.0,440cf1fd7580490c971d8c651ed962af,2016-05-04,71000.0,2016,5,813 days 00:00:00.000000000,30-39,70k-79k
0.0,64.0,4b0da7e80e5945209a1fdddfe813dbe0,2017-09-09,100000.0,2017,9,320 days 00:00:00.000000000,60-69,90k-99k
1.0,78.0,c27e0d6ab72c455a8bb66d980963de60,2017-06-16,71000.0,2017,6,405 days 00:00:00.000000000,70-79,70k-79k
0.0,42.0,f806632c011441378d4646567f357a21,2013-08-11,69000.0,2013,8,1810 days 00:00:00.000000000,40-49,60k-69k
1.0,56.0,d058f73bf8674a26a95227db098147b1,2018-04-28,88000.0,2018,4,89 days 00:00:00.000000000,50-59,80k-89k
1.0,33.0,c6c9884912c645429f3333f912b55f44,2017-09-26,52000.0,2017,9,303 days 00:00:00.000000000,30-39,50k-59k
1.0,46.0,7429a044884842d6862f516c38b1156f,2017-09-11,59000.0,2017,9,318 days 00:00:00.000000000,40-49,50k-59k
0.0,59.0,ebe7ef46ea6f4963a7dd49f501b26779,2015-01-21,41000.0,2015,1,1282 days 00:00:00.000000000,50-59,40k-49k
0.0,67.0,5917d13f6fa04286abdf95f4d5cefb1e,2014-08-23,96000.0,2014,8,1433 days 00:00:00.000000000,60-69,90k-99k
0.0,22.0,1e9420836d554513ab90eba98552d0a9,2017-09-25,70000.0,2017,9,304 days 00:00:00.000000000,20-29,60k-69k
1.0,96.0,868317b9be554cb18e50bc68484749a2,2017-11-17,89000.0,2017,11,251 days 00:00:00.000000000,80+,80k-89k
0.0,40.0,f082d80f0aac47a99173ba8ef8fc1909,2016-07-09,33000.0,2016,7,747 days 00:00:00.000000000,30-39,20k-39k
1.0,69.0,102e9454054946fda62242d2e176fdce,2016-08-14,57000.0,2016,8,711 days 00:00:00.000000000,60-69,50k-59k
0.0,56.0,8dabe2142cdf4013a6f4786edf8ab00f,2014-05-11,68000.0,2014,5,1537 days 00:00:00.000000000,50-59,60k-69k
1.0,26.0,9f30b375d7bd4c62a884ffe7034e09ee,2017-08-12,63000.0,2017,8,348 days 00:00:00.000000000,20-29,60k-69k
0.0,75.0,6e014185620b49bd98749f728747572f,2015-11-12,40000.0,2015,11,987 days 00:00:00.000000000,70-79,20k-39k
1.0,20.0,02c083884c7d45b39cc68e1314fec56c,2016-07-11,30000.0,2016,7,745 days 00:00:00.000000000,10-19,20k-39k
0.0,45.0,c0d210398dee4a0895b24444a5fcd1d2,2018-07-07,33000.0,2018,7,19 days 00:00:00.000000000,40-49,20k-39k
0.0,61.0,8b70ca1f5f5a45bdac2ac2f990b71526,2017-11-21,98000.0,2017,11,247 days 00:00:00.000000000,60-69,90k-99k
1.0,69.0,8e7c7465e98c43d8a01f51e2b5c29542,2013-09-18,37000.0,2013,9,1772 days 00:00:00.000000000,60-69,20k-39k
1.0,54.0,57dd18ec5ddc46828afb81ec5977bef2,2017-02-07,80000.0,2017,2,534 days 00:00:00.000000000,50-59,70k-79k
0.0,39.0,be8a5d1981a2458d90b255ddc7e0d174,2014-05-27,51000.0,2014,5,1521 days 00:00:00.000000000,30-39,50k-59k
1.0,41.0,3f89b8f80ebc4f94b7074f28071aa8d4,2015-09-21,41000.0,2015,9,1039 days 00:00:00.000000000,40-49,40k-49k
1.0,79.0,a3b9b4bf115e4564933ea2e4bc936843,2015-04-15,48000.0,2015,4,1198 days 00:00:00.000000000,70-79,40k-49k
1.0,66.0,7584948ea6d04f94b8798624706261c2,2018-04-08,38000.0,2018,4,109 days 00:00:00.000000000,60-69,20k-39k
1.0,56.0,e9844d5beac04bf8b8d3ad18f7e37fca,2017-06-26,52000.0,2017,6,395 days 00:00:00.000000000,50-59,50k-59k
1.0,39.0,f247806381704ea58c1b06f60602a6ae,2014-07-23,56000.0,2014,7,1464 days 00:00:00.000000000,30-39,50k-59k
0.0,42.0,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,2016-01-17,96000.0,2016,1,921 days 00:00:00.000000000,40-49,90k-99k
1.0,78.0,fe8264108d5b4f198453bbb1fa7ca6c9,2016-10-09,93000.0,2016,10,655 days 00:00:00.000000000,70-79,90k-99k
0.0,45.0,186d6403f5824c739555b732f4af3f16,2017-10-06,48000.0,2017,10,293 days 00:00:00.000000000,40-49,40k-49k
0.0,29.0,8a87fda1a6644337b4394a4c3cd0946c,2016-04-30,50000.0,2016,4,817 days 00:00:00.000000000,20-29,40k-49k
0.0,44.0,b7a66e629b134079a9bc7120c7b9947b,2017-09-24,35000.0,2017,9,305 days 00:00:00.000000000,40-49,20k-39k
0.0,63.0,ca82e1ebc759402c8ab95c341755bdf1,2018-07-13,56000.0,2018,7,13 days 00:00:00.000000000,60-69,50k-59k
0.0,36.0,54890f68699049c2a04d415abc25e717,2017-12-28,56000.0,2017,12,210 days 00:00:00.000000000,30-39,50k-59k
1.0,76.0,ab66a363907e43e9a7cd535f1578245b,2018-03-14,47000.0,2018,3,134 days 00:00:00.000000000,70-79,40k-49k
0.0,68.0,d3f146b615514c6380b168bb3df5f05b,2017-08-23,87000.0,2017,8,337 days 00:00:00.000000000,60-69,80k-89k
0.0,75.0,a5a6ef2b78a04ddc9f374dd7c7f60bff,2015-11-29,52000.0,2015,11,970 days 00:00:00.000000000,70-79,50k-59k
0.0,67.0,2e87ba0fba1a4d1a8614af771f07a94d,2017-02-26,76000.0,2017,2,515 days 00:00:00.000000000,60-69,70k-79k
0.0,77.0,d8af520c4a8a4c77b921098d7d838c4d,2016-07-30,51000.0,2016,7,726 days 00:00:00.000000000,70-79,50k-59k
0.0,76.0,39dbcf43e24d41f4bbf0f134157e0e1e,2014-08-31,64000.0,2014,8,1425 days 00:00:00.000000000,70-79,60k-69k
0.0,57.0,b62e66ca4dcf4df39fd522e750a88d81,2018-02-07,98000.0,2018,2,169 days 00:00:00.000000000,50-59,90k-99k
1.0,53.0,8c7df0c393db488aac3e58b06a7ea5f9,2016-07-06,72000.0,2016,7,750 days 00:00:00.000000000,50-59,70k-79k
1.0,53.0,3a1242dda16248728e350c4bdeb21972,2016-12-31,117000.0,2016,12,572 days 00:00:00.000000000,50-59,110k-120k
1.0,53.0,8045834137dc47faa24f2c4547969f33,2017-10-26,55000.0,2017,10,273 days 00:00:00.000000000,50-59,50k-59k
1.0,61.0,fb98ebe9e3e14afaa5b5db182b00b7ec,2017-11-10,112000.0,2017,11,258 days 00:00:00.000000000,60-69,110k-120k
1.0,67.0,5cd6577aca5d4b419e452f9f505ffce7,2016-09-10,77000.0,2016,9,684 days 00:00:00.000000000,60-69,70k-79k
1.0,58.0,99e9a1916821461ebd5d5048dc2dff7d,2018-01-25,85000.0,2018,1,182 days 00:00:00.000000000,50-59,80k-89k
1.0,46.0,e528ceb341964128aaf58a59733ec2af,2018-06-29,36000.0,2018,6,27 days 00:00:00.000000000,40-49,20k-39k
0.0,30.0,faf74115a43b4f718f4d4c0de116ee8a,2017-12-02,41000.0,2017,12,236 days 00:00:00.000000000,20-29,40k-49k
0.0,59.0,0b73997a269247088b2a63355f53ee58,2017-08-20,89000.0,2017,8,340 days 00:00:00.000000000,50-59,80k-89k
0.0,51.0,f44b44b53c0548d5b27c812fda4c358a,2015-12-31,41000.0,2015,12,938 days 00:00:00.000000000,50-59,40k-49k
0.0,27.0,6e04a90a0e074496b5f229eb1f553433,2018-01-10,35000.0,2018,1,197 days 00:00:00.000000000,20-29,20k-39k
0.0,40.0,262ad0fb526a4d53b572007da60cce24,2018-02-27,53000.0,2018,2,149 days 00:00:00.000000000,30-39,50k-59k
1.0,73.0,a2b7a0b3487a4d779ddf4e11a034e2ee,2018-04-19,91000.0,2018,4,98 days 00:00:00.000000000,70-79,90k-99k
1.0,74.0,2c5c63e5124e417b8504f76c868a4190,2015-12-24,107000.0,2015,12,945 days 00:00:00.000000000,70-79,100k-109k
0.0,42.0,9d6da0a2ac54474e8ec986fd21cecef0,2015-11-21,66000.0,2015,11,978 days 00:00:00.000000000,40-49,60k-69k
0.0,78.0,571b739ada3041fb8fbd20f23ce034f7,2015-11-11,58000.0,2015,11,988 days 00:00:00.000000000,70-79,50k-59k
1.0,54.0,816afd4505d047cf893275fbfe825590,2016-12-25,53000.0,2016,12,578 days 00:00:00.000000000,50-59,50k-59k
1.0,70.0,13b7b2eccf664a329d83d2a238a9a11d,2018-06-13,74000.0,2018,6,43 days 00:00:00.000000000,60-69,70k-79k
1.0,49.0,68eee228713c429ebe1300155ad1fb33,2017-04-08,57000.0,2017,4,474 days 00:00:00.000000000,40-49,50k-59k
1.0,62.0,ffc6c9fbe34b4578911dcdf6745b4c74,2018-04-10,57000.0,2018,4,107 days 00:00:00.000000000,60-69,50k-59k
0.0,64.0,cbebad9819494b479dbf0c1207b4c0c5,2017-03-05,70000.0,2017,3,508 days 00:00:00.000000000,60-69,60k-69k
1.0,89.0,4264b1d027cc493281bba4f44bfedaca,2017-11-14,87000.0,2017,11,254 days 00:00:00.000000000,80+,80k-89k
0.0,73.0,0ba6e2ad781c4429afd26cf0b35f2d11,2018-04-01,51000.0,2018,4,116 days 00:00:00.000000000,70-79,50k-59k
1.0,50.0,b5abc1e85be84f43937b4fca0ad238cb,2017-05-06,93000.0,2017,5,446 days 00:00:00.000000000,40-49,90k-99k
1.0,90.0,1c587de019994f93a242c6864fd7bc55,2015-12-10,98000.0,2015,12,959 days 00:00:00.000000000,80+,90k-99k
1.0,68.0,3f4e408b0b2d4ea89dd16d7437d867c1,2016-07-31,84000.0,2016,7,725 days 00:00:00.000000000,60-69,80k-89k
0.0,60.0,13bda8fbd70a4814b956df1d55320398,2017-02-06,64000.0,2017,2,535 days 00:00:00.000000000,50-59,60k-69k
0.0,45.0,b19c8e7ac2ff40ae92b4fcf3247f8912,2017-08-15,54000.0,2017,8,345 days 00:00:00.000000000,40-49,50k-59k
0.0,66.0,21c73d53e2a74bb1b4dc172bff2b1aad,2016-01-24,49000.0,2016,1,914 days 00:00:00.000000000,60-69,40k-49k
1.0,19.0,1abeb816d9fa49b4b5b5ae51bc3d24c3,2016-10-15,73000.0,2016,10,649 days 00:00:00.000000000,10-19,70k-79k
1.0,66.0,92e07c49ee7448fca6e48df0c96e3eec,2018-02-16,58000.0,2018,2,160 days 00:00:00.000000000,60-69,50k-59k
1.0,72.0,f8aedd0cbea0419c806842b4265b82e5,2016-08-11,72000.0,2016,8,714 days 00:00:00.000000000,70-79,70k-79k
0.0,76.0,a9780228a1d04539afdee8b745e4be10,2016-04-07,63000.0,2016,4,840 days 00:00:00.000000000,70-79,60k-69k
0.0,52.0,94f14dcfedba47e18b7efca13dd7574b,2017-05-15,78000.0,2017,5,437 days 00:00:00.000000000,50-59,70k-79k
0.0,55.0,8a4bc602e4424ab6b16f0b907f2f22af,2017-12-10,31000.0,2017,12,228 days 00:00:00.000000000,50-59,20k-39k
1.0,39.0,6d28f18e91324d358d69d1e4b01f1ace,2017-09-19,60000.0,2017,9,310 days 00:00:00.000000000,30-39,50k-59k
1.0,45.0,52f0bd64403f4958ab8fe9a6947c13c3,2016-01-26,44000.0,2016,1,912 days 00:00:00.000000000,40-49,40k-49k
1.0,57.0,93e67942586e43fb87d5ffb1ead8db41,2017-07-04,114000.0,2017,7,387 days 00:00:00.000000000,50-59,110k-120k
0.0,74.0,e641af076cc54529bec6ab61fc25f4a6,2018-07-12,48000.0,2018,7,14 days 00:00:00.000000000,70-79,40k-49k
0.0,18.0,716a961d2afb4c1d8307522a8cbb4f07,2016-07-27,47000.0,2016,7,729 days 00:00:00.000000000,10-19,40k-49k
0.0,53.0,13033baa9d294c3c9165a00d71b72614,2017-09-27,96000.0,2017,9,302 days 00:00:00.000000000,50-59,90k-99k
1.0,59.0,15953663abf54181adf1fd4c39442b85,2017-09-10,98000.0,2017,9,319 days 00:00:00.000000000,50-59,90k-99k
0.0,57.0,0ac5ffb0f1624297a453494b845e1a91,2014-11-04,46000.0,2014,11,1360 days 00:00:00.000000000,50-59,40k-49k
1.0,51.0,1a353048b0884fc5a0afa27677ef1e80,2017-08-13,56000.0,2017,8,347 days 00:00:00.000000000,50-59,50k-59k
1.0,64.0,2cf5895bddf9467e878c6d51a622d5fb,2017-10-20,37000.0,2017,10,279 days 00:00:00.000000000,60-69,20k-39k
0.0,71.0,6747dda08bed46298c23e05b64820a3a,2017-01-29,57000.0,2017,1,543 days 00:00:00.000000000,70-79,50k-59k
1.0,64.0,f35b342b24734da18a830bb9329a4fbd,2017-04-21,66000.0,2017,4,461 days 00:00:00.000000000,60-69,60k-69k
0.0,83.0,4c29d22467af4d7faa137c4eedd65340,2018-01-27,46000.0,2018,1,180 days 00:00:00.000000000,80+,40k-49k
0.0,26.0,e997a086fc13446da2aa9070d98d191a,2017-12-11,71000.0,2017,12,227 days 00:00:00.000000000,20-29,70k-79k
1.0,29.0,17af917bb842480e925e49a8ca08c1f8,2018-03-21,58000.0,2018,3,127 days 00:00:00.000000000,20-29,50k-59k
0.0,43.0,bf8d7498eb32431ab3fedaa14b7d3a0d,2017-09-15,70000.0,2017,9,314 days 00:00:00.000000000,40-49,60k-69k
